,title,location,cost_for_two,cuisine,ratings,review_counts,phone,url
2566,Trichy Andal Mess,Choolaimedu,₹350,"South Indian,Chinese,Chettinad",NEW,,+91 9840826675,https://www.zomato.com/chennai/trichy-andal-mess-choolaimedu
2567,191 Sandwich,Choolaimedu,₹300,"Fast Food,Sandwich",-,,+91 9003044440,https://www.zomato.com/chennai/191-sandwich-choolaimedu
2572,Gulp Cafe,Kilpauk,₹600,"North Indian,Fast Food",-,,+91 7022198332,https://www.zomato.com/chennai/gulp-cafe-kilpauk
2573,Nakshatra by Aghraharam,Kilpauk,₹400,"Chinese,North Indian",-,,044 48644432,https://www.zomato.com/chennai/nakshatra-by-aghraharam-kilpauk
2576,WOSS - World Of Subs & Salads,Chromepet,₹300,"Fast Food,North Indian",,,"+91 9884154663, +91 9176665915",https://www.zomato.com/chennai/woss-world-of-subs-salads-chromepet
2579,Cafe Udupi Ruchi,Kilpauk,₹250,"South Indian,North Indian",,,+91 6383752495,https://www.zomato.com/chennai/cafe-udupi-ruchi-kilpauk
2581,Kumar Mess,Choolaimedu,₹100,South Indian,NEW,,+91 9940554987,https://www.zomato.com/chennai/kumar-mess-choolaimedu
2582,New Aachi Chettinad Restaurant,Egmore,₹300,South Indian,-,,044 42146520,https://www.zomato.com/chennai/new-aachi-chettinad-restaurant-egmore
2587,Indian Kabab,Choolaimedu,₹300,"Kebab,Mughlai",-,,+91 9025833231,https://www.zomato.com/chennai/indian-kabab-choolaimedu
2588,Mughlai Briyani,Choolaimedu,₹200,"Mughlai,Biryani,Fast Food",-,,+91 9025833231,https://www.zomato.com/chennai/mughlai-briyani-choolaimedu
2589,Bharani Foods,Egmore,₹300,"South Indian,North Indian,Chinese",NEW,,+91 6382588472,https://www.zomato.com/chennai/bharani-foods-egmore
2593,Mad Lassi,Anna Salai,₹250,"Beverages,Juices,Sandwich",NEW,,+91 8610838400,https://www.zomato.com/chennai/mad-lassi-anna-salai
2594,Lemon Fizz,Egmore,₹100,Beverages,-,,"+91 9962616059, +91 9176077953",https://www.zomato.com/chennai/lemon-fizz-egmore
2596,Siva Tiffin Center,Choolaimedu,₹200,South Indian,NEW,,+91 9751025162,https://www.zomato.com/chennai/siva-tiffin-center-choolaimedu
2601,BL Chips and Snacks,Choolaimedu,₹150,Street Food,-,,044 42648182,https://www.zomato.com/chennai/bl-chips-and-snacks-choolaimedu
2602,Maharaja Fast Food,Choolaimedu,₹300,"Biryani,Fast Food",-,,+91 7305652745,https://www.zomato.com/chennai/maharaja-fast-food-choolaimedu
2603,Vasam Cakes,Kilpauk,₹300,Bakery,NEW,,+91 9710025505,https://www.zomato.com/chennai/vasam-cakes-kilpauk
2606,Arogya Vilas,Kodambakkam,₹150,South Indian,-,,+91 8248039885,https://www.zomato.com/chennai/arogya-vilas-1-kodambakkam
2608,Sri Thansai Hotel,Egmore,₹200,"South Indian,Chinese",-,,"+91 9884323688, +91 9884365239",https://www.zomato.com/chennai/sri-thansai-hotel-egmore
2617,Sri Akshayaas,Aminijikarai,₹350,"North Indian,South Indian,Chinese",3.5,82 votes,"044 65442222, +91 7288442222",https://www.zomato.com/chennai/sri-akshayaas-aminijikarai
2618,Arabian Hub,Aminijikarai,₹200,"Arabian,Street Food",3.2,93 votes,+91 9791694586,https://www.zomato.com/chennai/arabian-hub-aminijikarai
2619,Chill Out,Gopalapuram,₹600,"North Indian,Arabian,Chinese,Beverages",3.4,58 votes,"044 48641777, +91 9092641888",https://www.zomato.com/chennai/chill-out-gopalapuram
2620,Kalmane Koffees,"Ampa Skywalk Mall, Aminijikarai",₹300,"Cafe,Fast Food",3.2,38 votes,+91 9972900765,https://www.zomato.com/chennai/kalmane-koffees-aminijikarai
2621,Virgin Pastaa,Aminijikarai,₹500,"Cafe,Pizza,Fast Food,Desserts,Beverages",3.7,18 votes,"+91 9176502244, +91 8248554839",https://www.zomato.com/chennai/virgin-pastaa-aminijikarai
2622,Hot Chaat & Sweets,Aminijikarai,₹150,"Street Food,Sandwich",3.1,30 votes,+91 9840298462,https://www.zomato.com/chennai/hot-chaat-sweets-aminijikarai
2623,Hot Plate,Aminijikarai,"₹1,000","Andhra,Chettinad,Italian,Chinese",3.5,19 votes,044 46002323,https://www.zomato.com/chennai/hot-plate-aminijikarai
2624,Gelato Italiano,"Ampa Skywalk Mall, Aminijikarai",₹200,"Ice Cream,Desserts",3.4,20 votes,Not available for this place,https://www.zomato.com/chennai/gelato-italiano-aminijikarai
2625,Velu Kitchen,Aminijikarai,₹200,"Chinese,North Indian",3.4,34 votes,+91 8883439356,https://www.zomato.com/chennai/velu-kitchen-aminijikarai
2626,A1 Ambur Briyani & Kababs,Aminijikarai,₹400,"Biryani,Chinese,Fast Food",3.1,24 votes,"+91 9629928181, +91 8610565089",https://www.zomato.com/chennai/a1-ambur-briyani-kababs-aminijikarai
2627,Hotel Arogya Bhavan,Aminijikarai,₹400,"South Indian,Chinese",3.2,21 votes,044 48515161,https://www.zomato.com/chennai/hotel-arogya-bhavan-1-aminijikarai
2628,Thai Chi,Aminijikarai,₹250,"South Indian,Fast Food",3.4,9 votes,"+91 9094444444, +91 9940564880",https://www.zomato.com/chennai/thai-chi-aminijikarai
2629,The Kulchas,"Ampa Skywalk Mall, Aminijikarai",₹300,North Indian,3.3,17 votes,044 30249494,https://www.zomato.com/chennai/the-kulchas-aminijikarai
2631,Akshay Andhra Curries,Aminijikarai,₹300,Biryani,3.4,13 votes,+91 9677019123,https://www.zomato.com/chennai/akshay-andhra-curries-aminijikarai
2632,Namma Aappakadai Express,"Ampa Skywalk Mall, Aminijikarai",₹450,"Chettinad,North Indian,Chinese",3,10 votes,+91 9710865768,https://www.zomato.com/chennai/namma-aappakadai-express-aminijikarai
2633,Prince Pan Palace,Aminijikarai,₹150,Paan,3.3,9 votes,"+91 9840963211, +91 9840791678",https://www.zomato.com/chennai/prince-pan-palace-aminijikarai
2634,Awww Pie,Aminijikarai,₹600,Bakery,3.1,5 votes,+91 9790925096,https://www.zomato.com/chennai/awww-pie-aminijikarai
2635,Juice Paradise,Aminijikarai,₹250,"Juices,Beverages",3.2,5 votes,Not available for this place,https://www.zomato.com/chennai/juice-paradise-aminijikarai
2636,Celebrations 365,Aminijikarai,₹300,Desserts,3.1,4 votes,+91 8754581983,https://www.zomato.com/chennai/celebrations-365-aminijikarai
2637,Juice Maker,Aminijikarai,₹250,"Beverages,Street Food,Sandwich",2.8,7 votes,+91 9886046573,https://www.zomato.com/chennai/juice-maker-1-aminijikarai
2638,Rock N Roll Snacks,Aminijikarai,₹200,Rolls,-,,+91 9787512225,https://www.zomato.com/chennai/rock-n-roll-snacks-aminijikarai
2639,Hotel Andhra Bhavan,Chetpet,₹150,"South Indian,Andhra",NEW,,+91 9600009151,https://www.zomato.com/chennai/hotel-andhra-bhavan-chetpet
2640,Hotplate Restaurant,Aminijikarai,₹300,"South Indian,North Indian,Chinese",-,,"044 46002323, +91 7358715536",https://www.zomato.com/chennai/hotplate-restaurant-aminijikarai
2641,Thriveni Cafe,Aminijikarai,₹300,South Indian,-,,"+91 9840480683, +91 8939639175",https://www.zomato.com/chennai/thriveni-cafe-aminijikarai
2642,Roasters Coffee,Aminijikarai,₹100,Beverages,-,,+91 7397388916,https://www.zomato.com/chennai/roasters-coffee-aminijikarai
2643,Nei Soru,Aminijikarai,₹250,"South Indian,Chinese",-,,+91 9962846979,https://www.zomato.com/chennai/nei-soru-aminijikarai
2644,Vijay Juice Shop,Gopalapuram,₹200,"Beverages,Juices",-,,+91 9840227712,https://www.zomato.com/chennai/vijay-juice-shop-gopalapuram
2645,Ambujam Snacks,Aminijikarai,₹100,South Indian,-,,+91 9551499888,https://www.zomato.com/chennai/ambujam-snacks-aminijikarai
2646,PVR Ampa,"Ampa Skywalk Mall, Aminijikarai",₹400,Fast Food,NEW,,+91 9629820007,https://www.zomato.com/chennai/pvr-ampa-aminijikarai
2657,Pantry d'or,Anna Nagar East,₹750,"Continental,Cafe,Italian,Desserts,Salad",4.4,2405 votes,044 30205626,https://www.zomato.com/chennai/pantry-dor-anna-nagar-east
2703,Mid Street,Mogappair,₹350,"Fast Food,Ice Cream",4,825 votes,"+91 7604854855, 044 43538999",https://www.zomato.com/chennai/mid-street-mogappair
2756,Tasty Kitchen,Perambur,₹300,"Chinese,Biryani,North Indian",4.1,453 votes,"044 25502731, +91 9176010231",https://www.zomato.com/chennai/tasty-kitchen-perambur
2775,Madras Biryani,Perambur,₹400,"Biryani,Mughlai,Fast Food,South Indian",3.9,480 votes,+91 9962955529,https://www.zomato.com/chennai/madras-biryani-perambur
2802,Al Beck,Ambattur,₹800,"Seafood,Biryani,North Indian,Chinese,Arabian,Mughlai",3.9,368 votes,"+91 7358338285, 044 26544444",https://www.zomato.com/chennai/al-beck-ambattur
2803,Shmoozie's Hand-Crafted Ice creams,Egmore,₹400,"Ice Cream,Desserts",4.7,300 votes,+91 8248311929,https://www.zomato.com/chennai/shmoozies-hand-crafted-ice-creams-egmore
2814,Al Raabias Biriyani,Perambur,₹500,"North Indian,Chinese,Biryani",3.9,396 votes,"044 48554949, 044 48575050",https://www.zomato.com/chennai/al-raabias-biriyani-perambur
2893,Street Shawarma,Mogappair,₹300,"Arabian,Rolls",3.1,322 votes,"+91 9962495999, +91 9965328999",https://www.zomato.com/chennai/street-shawarma-mogappair
2894,Iftar Corner,Perambur,₹600,"Arabian,Asian,Chinese,North Indian",3.9,289 votes,+91 7200062333,https://www.zomato.com/chennai/iftar-corner-perambur
2899,Hotel Zum Zum,George Town,₹400,"North Indian,South Indian,Chettinad",3.6,317 votes,"044 25270602, 044 42162115",https://www.zomato.com/chennai/hotel-zum-zum-george-town
2903,Hyderabad Mughal Biriyani,Mogappair,₹500,"Mughlai,Chinese,North Indian",3.7,327 votes,"044 65314444, 044 65314466",https://www.zomato.com/chennai/hyderabad-mughal-biriyani-mogappair
2906,Atho Man,Royapuram,₹400,"Burmese,Fast Food",3.9,308 votes,+91 9940048485,https://www.zomato.com/chennai/atho-man-1-royapuram
2913,Al Eid,Perambur,₹800,"North Indian,Continental,Chinese,Biryani",3.7,257 votes,"044 26706666, +91 7305206666",https://www.zomato.com/chennai/al-eid-perambur
2929,Anchor Restaurant,Mogappair,₹600,"Biryani,South Indian,Chettinad,North Indian,Chinese",3.7,248 votes,"044 26563339, 044 26562875",https://www.zomato.com/chennai/anchor-restaurant-mogappair
2939,Delight Pizza,Perambur,₹500,"Fast Food,Biryani",3.9,204 votes,"+91 7200508080, 044 49578090",https://www.zomato.com/chennai/delight-pizza-perambur
2948,Shalimar,Perambur,₹450,"North Indian,Chinese,Biryani",3.9,243 votes,"044 25522582, +91 9445305601",https://www.zomato.com/chennai/shalimar-perambur
2954,The Baker's Nook,Anna Nagar West,₹400,Bakery,4.1,148 votes,+91 9884841414,https://www.zomato.com/chennai/the-bakers-nook-anna-nagar-west
2968,Hyderabadi Nizaam Biriyani,Perambur,₹500,"North Indian,South Indian,Biryani",3.8,220 votes,"044 26700885, 044 26704786",https://www.zomato.com/chennai/hyderabadi-nizaam-biriyani-perambur
2971,Golden Kitchen,Kolathur,₹400,"North Indian,Chinese",3.7,235 votes,+91 9840789840,https://www.zomato.com/chennai/golden-kitchen-kolathur
2995,Too Hot Fast Food,Kolathur,₹250,"Fast Food,Chinese,North Indian",3,218 votes,+91 9629181577,https://www.zomato.com/chennai/too-hot-fast-food-kolathur
3018,Milkie Mustache,Perambur,₹400,"Desserts,Beverages",4.1,166 votes,"+91 8807304804, +91 9790871910",https://www.zomato.com/chennai/milkie-mustache-perambur
3021,Marmalong,Adyar,"₹1,600","Mexican,Italian,North Indian",4,47 votes,044 30637542,https://www.zomato.com/chennai/marmalong-adyar
3022,Scallion,"Ramada Plaza, Guindy","₹2,000","Chinese,Japanese,Asian,Thai",4.1,103 votes,044 45653333,https://www.zomato.com/chennai/scallion-guindy
3023,Barista,Besant Nagar,₹500,Cafe,2.6,132 votes,044 42019455,https://www.zomato.com/chennai/barista-besant-nagar
3025,Doveton Cafe,Purasavakkam,₹400,"Cafe,Continental",3.6,149 votes,"044 26426313, +91 9094048691",https://www.zomato.com/chennai/doveton-cafe-purasavakkam
3026,Fish 'n' Prawn,Arumbakkam,₹550,"Seafood,North Indian,Chinese,Biryani",3.6,139 votes,"044 43183006, 044 23633002",https://www.zomato.com/chennai/fish-n-prawn-arumbakkam
3028,Library Blu - The Leela Palace,"The Leela Palace, MRC Nagar","₹3,000",Finger Food,4.1,132 votes,044 33661234,https://www.zomato.com/chennai/library-blu-the-leela-palace-mrc-nagar
3029,Vasanta Bhavan,Anna Nagar East,₹450,"South Indian,Chinese,North Indian",3.6,148 votes,"044 26194545, 044 26202343",https://www.zomato.com/chennai/vasanta-bhavan-anna-nagar-east
3030,Smoky Lucy Burgers,Anna Nagar West,₹500,"Fast Food,Burger,Sandwich,Beverages",3.8,117 votes,+91 9965328999,https://www.zomato.com/SLBAnnaNagar
3031,Cake Affairs,Mylapore,₹300,"Desserts,Bakery",3.8,30 votes,+91 8939947874,https://www.zomato.com/chennai/cake-affairs-mylapore
3032,Crinkles and Melts,Kilpauk,₹150,"Cafe,Desserts",3.9,93 votes,+91 8939797909,https://www.zomato.com/chennai/crinkles-and-melts-1-kilpauk
3033,Pally Tastee Fast Food,Perambur,₹850,"Chinese,North Indian,South Indian",3.6,136 votes,"+91 9791143089, +91 9600026437",https://www.zomato.com/chennai/pally-tastee-fast-food-perambur
3034,Yaa Mohideen Biryani Elite,Anna Nagar East,₹600,Biryani,3.8,168 votes,044 45508222,https://www.zomato.com/chennai/yaa-mohideen-biryani-elite-anna-nagar-east
3035,Hotel Sri Lakshmi Sagar,Adyar,₹150,"South Indian,Beverages",3.9,126 votes,044 42114103,https://www.zomato.com/chennai/hotel-sri-lakshmi-sagar-adyar
3036,Salem RR Restaurant,Koyambedu,₹300,"Biryani,South Indian",3.9,114 votes,044 24792491,https://www.zomato.com/chennai/salem-rr-restaurant-koyambedu
3037,Cook Gramam,Anna Nagar West,₹550,South Indian,4,115 votes,+91 9840426888,https://www.zomato.com/chennai/cook-gramam-anna-nagar-west
3038,18 Degree North - Clarion Hotel,"Clarion Hotel, Mylapore","₹1,500","North Indian,Mughlai,Chettinad",3.6,46 votes,"044 28472211, +91 8939838125",https://www.zomato.com/chennai/18-degree-north-clarion-hotel-mylapore
3040,Jannal Kadai,Mylapore,₹100,South Indian,4,144 votes,Not available for this place,https://www.zomato.com/chennai/jannal-kadai-mylapore
3041,Meyyoon,Perambur,₹300,"South Indian,North Indian",3.7,137 votes,+91 9659438564,https://www.zomato.com/chennai/meyyoon-perambur
3042,Just Biriyani,Purasavakkam,₹250,"Biryani,Seafood,South Indian,Chettinad,Fast Food,Desserts,Beverages",3.9,149 votes,"044 42129575, +91 9941155660",https://www.zomato.com/justbiriyani
3043,Hotel Shiva Sagar,Vepery,₹600,"North Indian,Street Food,Fast Food,Desserts,Beverages",3.4,124 votes,"044 45530377, 044 25615042",https://www.zomato.com/chennai/hotel-shiva-sagar-vepery
3044,Chidambaram New Moorthy Cafe,Anna Nagar West,₹500,"North Indian,Seafood,Chinese",4.1,100 votes,00 4449516160,https://www.zomato.com/chennai/chidambaram-new-moorthy-cafe-anna-nagar-west
3045,Hemanth Chats,Vepery,₹200,Street Food,3.9,152 votes,044 42175096,https://www.zomato.com/chennai/hemanth-chats-vepery
3046,Eat & Meet,Mogappair,₹600,"Chinese,North Indian",3.8,130 votes,"+91 9094761575, +91 8870929888",https://www.zomato.com/chennai/eat-meet-mogappair
3048,Senthil Softy Zone,Mylapore,₹200,"Desserts,Ice Cream,Fast Food",4.1,129 votes,+91 9940273634,https://www.zomato.com/chennai/senthil-softy-zone-mylapore
3049,VB Heritage By Namma Veedu Vasanta Bhavan,Mylapore,₹500,"North Indian,South Indian,Street Food,Chinese",3.8,99 votes,044 24957666,https://www.zomato.com/chennai/vb-heritage-by-namma-veedu-vasanta-bhavan-mylapore
3050,Mitra,Adyar,₹200,"Mithai,Street Food",3.5,85 votes,044 49525663,https://www.zomato.com/chennai/mitra-adyar
3051,Hideout Cafe Lounge,Mylapore,"₹1,000","Cafe,Continental,Desserts,Chinese",3.9,137 votes,"+91 9087772233, +91 9840865227",https://www.zomato.com/chennai/hideout-cafe-lounge-mylapore
3053,Hotel Sangam,Triplicane,₹800,"Biryani,North Indian,Chinese,South Indian,Seafood,Beverages",3.8,105 votes,"044 28549692, +91 9840040248",https://www.zomato.com/chennai/hotel-sangam-triplicane
3054,Bakers Cottage,Anna Nagar East,₹350,"Bakery,Desserts",3.7,108 votes,"044 26283116, +91 9884020600",https://www.zomato.com/chennai/bakers-cottage-anna-nagar-east
3055,Taste Of Malabar,Vadapalani,₹400,"Kerala,Chinese,North Indian,Biryani",3.6,106 votes,"044 47101006, 00 720011272",https://www.zomato.com/chennai/taste-of-malabar-vadapalani
3056,Pizza Cottage,George Town,₹500,"Pizza,Fast Food",2.9,166 votes,"044 25252424, +91 9551294123",https://www.zomato.com/chennai/pizza-cottage-george-town
3057,Adaminde Thattukada,Besant Nagar,₹300,South Indian,3.7,109 votes,"044 48650005, +91 9962093145",https://www.zomato.com/chennai/adaminde-thattukada-besant-nagar
3058,Falafel,Anna Nagar East,₹500,"North Indian,Chinese,Biryani",3.9,142 votes,+91 9840237777,https://www.zomato.com/chennai/falafel-1-anna-nagar-east
3060,Cream World,Ashok Nagar,₹350,"Ice Cream,Desserts,Fast Food",3.7,105 votes,"044 42027472, +91 9940125643",https://www.zomato.com/chennai/cream-world-ashok-nagar
3061,Hotel Sangamam,Ashok Nagar,₹700,"Chettinad,North Indian,Chinese,South Indian",3.3,148 votes,"044 24891225, 044 23701017",https://www.zomato.com/chennai/hotel-sangamam-ashok-nagar
3062,Luxer Hotel,Mylapore,"₹1,000","Mediterranean,North Indian,Arabian",3.8,86 votes,"044 32977979, +91 9940174687",https://www.zomato.com/chennai/luxer-hotel-mylapore
3064,Qurbani Biryani,Valasaravakkam,₹500,"North Indian,Chinese",2.7,136 votes,"+91 9884448484, 044 65158833",https://www.zomato.com/chennai/qurbani-biryani-valasaravakkam
3066,Spiritz,Anna Nagar West,₹700,"North Indian,Seafood",2.9,153 votes,+91 9790900888,https://www.zomato.com/chennai/spiritz-anna-nagar-west
3067,Chennaiyil Madurai,Royapettah,₹650,"South Indian,Chettinad,Chinese,Biryani",3.5,99 votes,+91 9840896266,https://www.zomato.com/chennai/chennaiyil-madurai-royapettah
3068,Rich n Creamy,Ekkaduthangal,₹300,"Bakery,Fast Food,Ice Cream,Desserts",3.7,108 votes,044 43102626,https://www.zomato.com/chennai/rich-n-creamy-ekkaduthangal
3069,Asima Briyani Multicuisine Restaurant,Vadapalani,₹700,"Biryani,Seafood,Chinese,North Indian",3.7,87 votes,+91 7092188888,https://www.zomato.com/chennai/asima-briyani-multicuisine-restaurant-vadapalani
3070,The Twenty Fifth Hour - Clarion Hotel,"Clarion Hotel, Mylapore","₹2,000","North Indian,South Indian,Chinese,Italian,Continental",3.6,85 votes,"044 28472211, +91 9884022382",https://www.zomato.com/chennai/the-twenty-fifth-hour-clarion-hotel-mylapore
3071,Yakebab,Saligramam,₹500,"Mughlai,Kebab",3.5,112 votes,044 48618550,https://www.zomato.com/chennai/yakebab-saligramam
3072,King Sandwich,Kodambakkam,₹400,"Sandwich,Fast Food",3.8,139 votes,+91 9884355582,https://www.zomato.com/chennai/king-sandwich-kodambakkam
3073,MadBean Cafe and Roastery,Santhome,₹700,Cafe,3.9,60 votes,+91 7338815010,https://www.zomato.com/chennai/madbean-cafe-and-roastery-santhome
3075,Al Arabian Delights,Guindy,₹400,"Arabian,Biryani,North Indian,Chinese",3.6,137 votes,"044 48577867, +91 9884577867",https://www.zomato.com/chennai/al-arabian-delights-guindy
3076,Althaf Food Court,Saidapet,₹200,Chinese,3.8,151 votes,"+91 9500114763, +91 7550165600",https://www.zomato.com/chennai/althaf-food-court-saidapet
3077,Royal Restaurant,Vepery,₹400,Biryani,2.9,139 votes,+91 9962747039,https://www.zomato.com/chennai/royal-restaurant-vepery
3078,Cakelicious,Vepery,₹200,"Bakery,Desserts",3.3,9 votes,"044 42175298, +91 9363391051",https://www.zomato.com/chennai/cakelicious-vepery
3080,Al Reef,George Town,₹600,"Arabian,North Indian,Chinese,Beverages,Biryani,Juices",3.7,164 votes,"044 42037080, +91 9677118999",https://www.zomato.com/chennai/al-reef-george-town
3081,Edel's Dessert Bar,Ashok Nagar,₹250,"Ice Cream,Desserts",3.5,87 votes,"044 48589588, +91 9840349588",https://www.zomato.com/chennai/edels-dessert-bar-1-ashok-nagar
3082,Buy The Way - The Take Away Cafe,Valasaravakkam,₹300,Fast Food,3.7,85 votes,"+91 9962822233, +91 9500298532",https://www.zomato.com/chennai/buy-the-way-the-take-away-cafe-valasaravakkam
3083,Hotel Sriraag,Vadapalani,₹600,"South Indian,Biryani,Chinese,Beverages,North Indian",3.7,121 votes,"044 23650042, +91 9962134003",https://www.zomato.com/chennai/hotel-sriraag-vadapalani
3084,Tasty Pizza,Ramapuram,₹500,"Pizza,Fast Food",3,146 votes,"+91 9884871146, +91 9940158913",https://www.zomato.com/chennai/tasty-pizza-ramapuram
3086,Swad - The Fusion Kitchen,Vepery,₹200,Street Food,3.8,89 votes,"+91 9840877690, +91 9840040155",https://www.zomato.com/chennai/swad-the-fusion-kitchen-vepery
3087,Kalyana Biriyani,George Town,₹400,"Biryani,North Indian",3.8,149 votes,044 65676215,https://www.zomato.com/chennai/kalyana-biriyani-george-town
3088,Grill & Barbeque,Perambur,₹400,"Arabian,Chinese,North Indian",3.4,151 votes,"+91 9003029699, +91 9677117181",https://www.zomato.com/chennai/grill-barbeque-perambur
3089,Cups and Teas,Besant Nagar,₹200,Tea,4,68 votes,+91 8608740212,https://www.zomato.com/chennai/cups-and-teas-besant-nagar
3090,Nutmeg The Gourmet Shop - ITC Grand Chola,"ITC Grand Chola, Guindy","₹1,000","Bakery,Desserts",4,83 votes,"044 49065272, 044 49065271",https://www.zomato.com/chennai/nutmeg-the-gourmet-shop-itc-grand-chola-guindy
3091,Anda Pav,Kilpauk,₹250,"North Indian,Fast Food,Street Food",4.2,74 votes,"+91 9884093934, +91 6374102367",https://www.zomato.com/chennai/anda-pav-kilpauk
3092,Pulusu,Anna Nagar East,₹700,"Biryani,South Indian,Andhra,BBQ,Desserts,Beverages",NEW,,"044 42326678, +91 9962262202",https://www.zomato.com/chennai/pulusu-anna-nagar-east
3093,Hotel Santosi,Ramapuram,₹400,"North Indian,Chinese,Chettinad",3.3,146 votes,"+91 7401198305, +91 8148315873",https://www.zomato.com/chennai/hotel-santosi-ramapuram
3094,Thiru Senthil Mess,Anna Nagar East,₹700,"South Indian,Chettinad",3.1,134 votes,044 48545555,https://www.zomato.com/chennai/thiru-senthil-mess-anna-nagar-east
3096,Shawarma Spot,K.K. Nagar,₹300,"Lebanese,Fast Food",3.9,136 votes,+91 9841260119,https://www.zomato.com/chennai/shawarma-spot-k-k-nagar
3099,Waves Bar & Lounge - Ramada,"Ramada, Egmore","₹2,300",Finger Food,4,134 votes,+91 9940223370,https://www.zomato.com/chennai/waves-bar-lounge-ramada-egmore
3100,Hotel Pandian,Mogappair,₹450,"North Indian,South Indian",3.9,120 votes,+91 8111035057,https://www.zomato.com/chennai/hotel-pandian-2-mogappair
3101,Prima's,Anna Nagar East,₹150,"Bakery,Fast Food,Beverages",3.8,91 votes,"044 26288298, +91 8939803926",https://www.zomato.com/chennai/primas-anna-nagar-east
3102,Ruchi Kabab,Maduravoyal,₹600,Chinese,3.5,138 votes,"044 23783314, +91 9003293311",https://www.zomato.com/chennai/ruchi-kabab-maduravoyal
3103,Hotel Sivari,Washermenpet,₹400,"Arabian,Biryani,Chettinad,Chinese",3.5,121 votes,044 48551747,https://www.zomato.com/chennai/hotel-sivari-1-washermenpet
3104,Sri Guru Fast Food,Perambur,₹300,"Fast Food,North Indian,Chinese",3.1,132 votes,"+91 9962992255, 044 26704033",https://www.zomato.com/chennai/sri-guru-fast-food-perambur
3105,Sri Krishna Hot Spot,Adyar,₹300,"South Indian,Fast Food,North Indian",3.9,108 votes,"+91 9444100055, 044 42620055",https://www.zomato.com/chennai/sri-krishna-hot-spot-adyar
3106,Akbar Mess,Vepery,₹200,"Biryani,Fast Food",3.9,100 votes,+91 9952267333,https://www.zomato.com/chennai/akbar-mess-vepery
3107,Hatimy's,George Town,₹550,"North Indian,Mughlai,Chinese",4.2,112 votes,+91 9790952531,https://www.zomato.com/chennai/hatimys-george-town
3108,Wok N Chork,Perambur,₹350,"Chinese,Momos",3.6,95 votes,"044 48611196, +91 7449074490",https://www.zomato.com/chennai/wok-n-chork-perambur
3109,Masaledaar Dhaba,Saligramam,₹600,"North Indian,Chinese",3.5,89 votes,"+91 6369212535, +91 6369231648",https://www.zomato.com/chennai/masaledaar-dhaba-saligramam
3111,Street Kitchen,Kolathur,₹400,"Chinese,North Indian",3.6,120 votes,"044 43873222, +91 8248257362",https://www.zomato.com/chennai/street-kitchen-2-kolathur
3112,WOW Chicken,Choolaimedu,₹500,"Fast Food,Biryani",2.3,135 votes,"+91 8610315635, 044 48552998",https://www.zomato.com/chennai/wow-chicken-choolaimedu
3113,AKS Kabab,Royapettah,₹500,"North Indian,Chinese,Mughlai",4,132 votes,+91 9789058892,https://www.zomato.com/chennai/aks-kabab-royapettah
3114,Divine Restaurant,Anna Nagar East,₹950,"North Indian,Chinese,Continental",3.7,100 votes,"+91 9884045597, 044 26289999",https://www.zomato.com/chennai/divine-restaurant-anna-nagar-east
3115,Hotel Shree Mangalambiga,Ashok Nagar,₹300,"South Indian,North Indian,Fast Food",3.3,94 votes,044 42056386,https://www.zomato.com/chennai/hotel-shree-mangalambiga-ashok-nagar
3116,Sri Kasturi Sweets,Saidapet,₹150,Mithai,3.7,40 votes,"044 24343962, +91 9841056978",https://www.zomato.com/chennai/sri-kasturi-sweets-saidapet
3117,Virudhunagar Biriyani & Fast Food,Purasavakkam,₹300,"North Indian,Chinese",3.6,130 votes,"044 42602640, 044 26428629",https://www.zomato.com/chennai/virudhunagar-biriyani-fast-food-purasavakkam
3118,Suprabaa,Ramapuram,₹500,"South Indian,Chinese,Juices",2.8,110 votes,"044 22491690, +91 9092093029",https://www.zomato.com/chennai/suprabaa-ramapuram
3119,Pop That Question,Mogappair,₹400,"Chinese,Biryani",3.6,107 votes,044 65555011,https://www.zomato.com/chennai/pop-that-question-mogappair
3120,Quality Fast Food,Anna Nagar East,₹300,"Chinese,North Indian",3.7,129 votes,044 26193337,https://www.zomato.com/chennai/quality-fast-food-anna-nagar-east
3121,Hotel Marina Park,Santhome,₹650,"North Indian,Chinese,Seafood,Juices",2.7,80 votes,"044 24954467, 044 42329394",https://www.zomato.com/chennai/hotel-marina-park-santhome
3123,Shankar Chat Bhandar,Anna Nagar East,₹200,Street Food,3.8,98 votes,Not available for this place,https://www.zomato.com/chennai/shankar-chat-bhandar-anna-nagar-east
3124,Hammock,Valasaravakkam,₹700,"Continental,Italian",4,72 votes,+91 9940040199,https://www.zomato.com/chennai/hammock-valasaravakkam
3125,Basil,Anna Nagar East,₹600,"Cafe,Italian,Chinese,Mexican",3.6,53 votes,"044 48510841, +91 9840509087",https://www.zomato.com/chennai/basil-anna-nagar-east
3126,Geoffrey's - Hotel Radha Regent,"Hotel Radha Regent, Arumbakkam","₹1,200",Bar Food,3.6,129 votes,044 66778899,https://www.zomato.com/chennai/geoffreys-hotel-radha-regent-arumbakkam
3127,Hotel Metro Sagar,Saidapet,₹600,"South Indian,North Indian,Chinese",3.4,122 votes,+91 9042020606,https://www.zomato.com/chennai/hotel-metro-sagar-saidapet
